ID,Tag,単語,ふりがな,説明
1,禅籍,景徳伝灯録,けいとくでんとうろく,宋代に、『宝林伝』の後を受ける形で景徳元年に成立し、直ちに入蔵した中国禅宗の歴史と教養をまとめた代表的な灯史のこと。禅宗列祖の伝記と機語がまとめられており、1701人の仏祖の名があり、「一千七百則の公案」という言葉の由来となっている。唐代の禅と宋代以降の禅を大きく区切り、敦煌文献が発見されるまで約1000年に渡って、中国禅宗の基本書であった。
2,禅籍,絶観論,ぜっかんろん,牛頭宗の綱要書のこと。牛頭法融作とされていたが、実際は異なる。牛頭宗衰退後は達摩に仮託された。入理先生と弟子縁門という架空人物の問答によって、読者を絶観の境地へと導く。絶観忘守や無情有仏性説などの思想が見られる。日本には最澄の将来目録によって題名のみが伝えられ、敦煌文献の発見で内容が明らかになった。
3,禅籍,雪竇頌古,せっちょうじゅこ,雲門宗の雪竇重顕が撰した書物で、禅者の覚りの機縁を集めて、頌を付したもの。圧倒的な詩的な美しさを有しており、後に臨済宗楊岐派の圓後克勤が評唱を加え、『碧巌録』となった。
4,禅籍,禅源諸詮集都序,ぜんげんしょせんしゅうとじょ,唐代に圭峰宗密によって撰された書物。すべての禅籍をまとめた100巻の『禅源諸詮集』を作ろうとしていたとされ、本書はその序分にあたるもの。華厳宗の思想と禅の融合である教禅一致を唱え、荷沢宗の立場から、禅宗各派を思想的に分類したもの。
5,禅籍,祖堂集,そどうしゅう,初期禅宗灯史の一つ。本書の伝灯説は『景徳伝灯録』以下の根拠となった。史実よりも禅師たちの語要を集めることに力が注がれており、古則公案の集大成的な書物として見られている。
6,禅籍,伝法宝紀,でんほうぼうき,唐代に杜朏によって撰された北宗禅の灯史のこと。実際は神秀よりも先ではあるが、神秀とともに法如の名前が記されており、義福、普寂らの名が記されていることが特徴的である。
7,禅籍,百丈清規,ひゃくじょうしんぎ,禅宗教団の生活規定として成立した中国初の清規のことで、洪州宗の馬祖道一の弟子の百丈懷海によって制定された。農耕などの作務という生活こそ禅であるという中国禅の立場に立脚したものである。
8,禅籍,碧巌録,へきがんろく,雪竇重顕の撰した『雪竇頌古』の講義を、臨済宗楊岐派の圓後克勤が評唱を加える形でまとめた公案集のこと。垂示、本則、著語、評唱という構成で、本則と頌古が雪竇重顕、著語と評唱が圓悟克勤によるものである。世間を席巻したが、圓悟克勤の弟子の大慧宗杲は修行には有害だとして、本書を焼却した。
9,禅籍,宝林伝,ほうりんでん,南宗馬祖系灯史のこと。唐代には広く流布していたが、『景徳伝灯録』や『伝法正宗記』の成立と入藏によって意義を失い散逸した。各祖師の言行の多くは創作だが、後代の南宗系灯史が『宝林伝』を基礎としたために、そのまま定説化したものも多い。伝法偈をすべての祖師に拡大した点などが特徴的である。
10,禅籍,楞伽師資記,りょうがしじき,唐代に浄覚が撰した北宗禅の灯史のこと。四巻楞伽の翻訳者である求那跋陀羅を達摩の前に置き、玄賾を系譜の中に入れたことが特徴的である。
11,禅籍,歴代法宝記,れきだいほうぼうき,弘忍の後、浄衆宗と保唐宗の一派の歴史を軸として描かれた、長巻の禅宗灯史のこと。無住の示寂直後に書かれたとされ、慧能を六祖としたうえで慧能の伝衣説を利用して智詵を正系とし、菩提達摩多羅という架空人物を作り、西天二十九祖説を主張した。
12,思想・事件,安史の乱,あんしのらん,755年から763年にかけて唐の節度使である安禄山と部下の史思明らによって引き起こされた反乱のこと。唐王朝を揺るがし、ウイグルの援軍によって乱は鎮圧したが、外交や貿易においてウイグルが有利になり、反乱軍の内部分裂を狙って節度使を濫発したため地方に小軍事政権が起こり、唐王朝は衰退していった。
13,思想・事件,一行三昧,いちぎょうざんまい,天台智顗の説く４つの坐禅の分類である四種三昧のうちのひとつである第一常坐三昧の根拠とされる思想。東山法門が『文殊説般若経』を思想の根拠とした際に一行三昧を主張した。
14,思想・事件,一日作さざれば、一日食らわず,いちにちなさざれば、いちにちくらわず,百丈懷海の言葉。老齢となっても作務をする懷海を心配した弟子たちが農耕道具を隠したため作務の出来なかった懷海は、その日の食事を食べなかった。食べない理由を問われた懷海が答えた言葉で、当時の禅宗のあり方を示している。
15,思想・事件,顕示真心即性教,けんじしんじんそくしょうきょう,圭峰宗密によって撰された『禅源諸詮集都序』において唱えられた仏の教えの分類の一つ。自らの心がそのまま真性であると説くもので、究極の教えであるとする。
16,思想・事件,古則【公案】,こそく【こうあん】,禅問答のこと。具体的には古人の日常的な行為を指したため古則と呼ばれ、覚りを開いたかどうかの判定に使われたため公案とも呼ばれた。公案の批評も盛んとなり、『碧巌録』といった公案集も誕生した。
17,思想・事件,直顕真性宗,じっけんしんしょうしゅう,圭峰宗密によって撰された『禅源諸詮集都序』において唱えられた禅の教えの分類の一つ。自らの心がそのまま真性であると説くもの。具体的には洪州宗や荷沢宗を指している。
18,思想・事件,守一不移,しゅいつふい,四祖道信が説いた禅法である五事と呼ばれる五種の法の第五にあたるもの。一を守って移らずという意味である。道信は守一の実践法を、明らかに仏性を見る、明見仏性という頓悟の意味で捉えた。
19,思想・事件,守心,しゅしん,五祖弘忍が唱えた禅法で、四祖道信の守一の禅法を受け継いで発展させたもの、守心の心は、明見仏性の仏性を指しているとされる。
20,思想・事件,著語,じゃくご,公案の批評形式の一つで、短評やコメントを指す。
21,思想・事件,頌古,じゅこ,公案の批評形式の一つで、詩による批評を指す。
22,思想・事件,絶観忘守,ぜっかんぼうしゅ,牛頭宗において説かれた禅法のこと。東山法門の守一守心や観心看心とは対照的に、真理を観ることを忘れ、悟りを超越した境地へと達すること。
23,思想・事件,漸修,ぜんしゅう,"北宗禅で説かれた禅法のこと。南宗禅で説かれた即時的な悟りである頓悟とは対照的に、段階的、漸次的に修行することで、悟りを開くことが出来ると説いた	。"
24,思想・事件,即心即仏,そくしんそくぶつ,洪州宗の馬祖道一が説いた思想のこと。そのままの心は仏そのものだという意味で、ありとあらゆる執着を捨てることを説いたもの。日常生活こそ仏法実現の場であるとする当時の現実的な禅に基づくものである。
25,思想・事件,息妄修心宗,そくもうしゅうしんしゅう,圭峰宗密によって撰された『禅源諸詮集都序』において唱えられた禅の教えの分類の一つ。禅の修行に取り組むことで妄念を滅して、悟りにいたろうとするもの。北宗や浄衆宗、保唐宗を指している。
26,思想・事件,断臂求法,だんぴぐほう,二祖慧可が達摩に入門を願い出たとき、達摩より熱意を問われ、自らで左の腕（左臂）を切り落として覚悟を示したとされる伝説。『伝法宝記』に記されている。
27,思想・事件,頓悟,とんご,南宗禅で説かれた禅法のこと。北宗禅で説かれた段階的な修行で悟りを開く漸修とは対照的に、内面にある仏性が外にあらわれることで直ちに悟りを開くことが出来ると説いた。
28,思想・事件,二入四行説,ににゅうしぎょうせつ,達摩が説いた禅法で、仏道への入り方を示したものである。修行の指針を理解する理入と実践を説いた行入の二入に分けられ、さらに行入の内容として報怨行、随縁行、無所求行、称法行の四行を説いた。
29,思想・事件,拈古,ねんこ,公案の批評形式の一つで、通常の言葉による批評を指す。
30,思想・事件,非心非仏,ひしんひぶつ,洪州宗の馬祖道一が説いた思想のこと。心ではなく、仏でもなくという意味で、ありとあらゆる執着を捨てることを説いたもの。日常生活こそ仏法実現の場であるとする当時の現実的な禅に基づくものである。
31,思想・事件,非風非幡、仁者心動,ひふうひばん、にんじゃしんどう,弘忍から嗣法を受けた慧能が南方に帰り、印宗の『涅槃経』の講義を聴きに行った際、寺の前で二人の僧が、風が動いたのか幡が動いたのかを論争していた。それに対して慧能が、風が動いたのでも幡が動いたのでもなく、あなたたちの心が動いたのだという意味で言った言葉。これにより、印宗から東山法門の後継者であると見破られた。
32,思想・事件,評唱,ひょうしょう,公案の批評形式の一つで、長短さまざまな講評を指す。
33,思想・事件,平常心是道,びょうじょうしんぜどう,洪州宗の馬祖道一が説いた思想のこと。当たり前の心で生きることが真実だという意味。日常生活こそ仏法実現の場であるとする当時の現実的な禅に基づくものである。
34,思想・事件,不立文字教外別伝,ふりゅうもんじきょうげべつでん,禅宗の特徴を表した語で、教えは言葉では表現せずに、人の心から人の心へ伝えるという意味である。このため、禅宗では師から弟子へ正法を伝授する伝灯系譜を最も重視した。
35,思想・事件,壁観,へきかん,達摩独自の禅法で、壁の如く執らわれることなく観よと解釈される個性的な実践法のこと。
36,思想・事件,遍参,へんさん,禅の修行者である雲水らが、悟りを開く機会である機縁を求めて、さまざまな禅者を訪ね問法する禅宗独自の修行形態のこと。宋代からその後に至るまで盛んに行われた。
37,思想・事件,本来無一物,ほんらいむいちもつ,ずっと同じものはない、つまりは実体のある物はないという意味の言葉。五祖弘忍が嗣法する相手を決めようと弟子たちに偈を作らせた際に、慧能が偈で用いた言葉。慧能は嗣法して六祖となった。
38,思想・事件,密意依性説相教,みつちえしょうせっそうきょう,圭峰宗密によって撰された『禅源諸詮集都序』において唱えられた仏の教えの分類の一つ。すべての教えは性の現れだが、理解できない人間に対しては方便として皮相な教義を説くものを指す。
39,思想・事件,密意破相顕性教,みつちはそうけんしょうきょう,圭峰宗密によって撰された『禅源諸詮集都序』において唱えられた仏の教えの分類の一つ。虚妄の相に執着して真実の性を悟らない者に対して、森羅万象が幻であるとして、あらゆる相の否定を説いたものを指す。
40,思想・事件,泯絶無寄宗,みんぜつむきしゅう,圭峰宗密によって撰された『禅源諸詮集都序』において唱えられた禅の教えの分類の一つ。仏や涅槃や修行といったあらゆる万法が空であるという境地に達することで、悟りを開くもの。具体的には牛頭宗や石頭宗を指している。
41,思想・事件,無徳正観,むとくしょうかん,三論宗の吉蔵が唱えた主張で、無所得こそが正しいとした。達摩が『四巻楞伽』を広める際にこの語を用いるなど、達摩や楞伽宗にも取り入れられた思想である。
42,宗派,潙仰宗,いぎょうしゅう,五家七宗の一派で、六祖慧能の弟子の南岳懷讓系統より、晩唐に、潙山霊祐とその弟子の仰山慧寂によって成立した宗派のこと。師資の性格が一致していたことが特色で、『潙山警策』にもあるように、謹厳綿密な宗風であった。
43,宗派,雲門宗,うんもんしゅう,五家七宗の一派で、六祖慧能の弟子の青原行思系統より、五代に、雲門文偃によって成立した宗派のこと。特徴的な禅法として、一字もしくは簡潔な表現で禅を説く「雲門一字関」がある。
44,宗派,五家七宗,ごけしちしゅう,晩唐から五代、北宋代にかけて成立した禅宗の宗派のこと。南岳懷讓系統より形成された、潙仰宗、臨済宗と青原行思系統より形成された曹洞宗、雲門宗、法眼宗の5つを五家とし、臨済宗から発展した臨済宗楊岐派と臨済宗黄竜派の2つを合わせて七宗という。
45,宗派,牛頭宗,ごずしゅう,法融を派祖として、江南の南京の近くの牛頭山を中心に、天宝年間に台頭した北宗禅、南宗禅につぐ第三の宗派のこと。三論宗の影響を受け空の立場に立ち北宗禅と対照的に、真理を観ることを忘れ、悟りを超越した境地へと達する絶観忘守という禅法を説いた。最澄が日本に伝えたとされる。
46,宗派,浄衆宗,じょうしゅうしゅう,江南で牛頭宗が活動していたのと同時期に、大唐保唐寺の無住の保唐宗とともに四川省の浄衆寺において無相が展開していた宗派のこと。『歴代法宝記』において、慧能の袈裟が則天武后によって取り上げられ、その袈裟が智詵、処寂、無相、無住と伝わったと主張した。無憶、無念、莫󠄀妄の三句語を戒定慧の三学になぞらえて総持門として説いた。
47,宗派,石頭宗,せきとうしゅう,八世紀後半になって衰退した北宗南宗牛頭宗にかわり、湖南の石頭希遷によって隆盛した宗派のこと。洪州宗の馬祖道一とともに、中国禅宗確立の一翼を担った。
48,宗派,曹洞宗,そうとうしゅう,五家七宗の一派で、六祖慧能の弟子の青原行思系統より、晩唐に、洞山良价とその弟子の曹山本寂によって成立した宗派のこと。自性清浄なる一心を修め悟ることこそが仏祖正伝の禅法であるとし、修証一体の悟りの世界を原理とした。
49,宗派,東山法門,とうざんほうもん,四祖道信と五祖弘忍の禅法を総称したもの。東山の名は、黄梅の雙峰山を化導の中心地とした四祖道信の入寂後、五祖弘忍がその東にある山（馮茂山）に移ったことに由来する。
50,宗派,南宗禅,なんしゅうぜん,六祖慧能を派祖として、中国南部の韶州曹溪宝林寺などで発展した禅宗の宗派のこと。直ちに悟りを開くことができるとする頓悟を禅法として説いた。
51,宗派,馬祖禅【洪州宗】,ばそぜん【こうしゅうしゅう】,八世紀後半になって衰退した北宗南宗牛頭宗にかわり、江西の馬祖道一によって隆盛した宗派のこと。ありとあらゆる執着を捨て、日常生活こそが仏法実現の場とする現実的な禅を説き、平常心是道や即身成仏や非心非仏を主張した。百丈懷海によって最初の清規も制定され、中国禅宗が確立した。
52,宗派,法眼宗,ほうげんしゅう,五家七宗の一派で、六祖慧能の弟子の青原行思系統より、五代に、法眼文益によって成立した宗派のこと。最も教学に傾いた宗派であり、禅浄の融合などを説いている。
53,宗派,北宗禅,ほくしゅうぜん,五祖弘忍の示寂後、十大弟子の一人の法如から神秀へと伝わり、嵩山少林寺や洛陽、長安で発展した禅宗の宗派のこと。漸次的な方便説を禅法として説いた。北宗の人々は南天竺一乗宗と名乗っており、北宗という呼び名は、荷沢神会の主張によるものである。
54,宗派,保唐宗,ほとうしゅう,江南で牛頭宗が活動していたのと同時期に、浄衆寺の無相の浄衆宗とともに四川省の大唐保唐寺において無住が展開していた宗派のこと。『歴代法宝記』において、慧能の袈裟が則天武后によって取り上げられ、その袈裟が智詵、処寂、無相、無住と伝わったと主張した。無憶、無念、莫󠄀妄の三句語を戒定慧の三学になぞらえて総持門として説いた。
55,宗派,楞伽宗,りょうがしゅう,四祖道信、五祖弘忍のころに成立した宗派で、達摩や慧可らの門人グループに起源する。求那跋陀羅が訳した『四巻楞伽』を心要とした。三論宗の教義である「無徳正観」を取り入れ、三論宗とも密接な関係にあった。
56,宗派,臨済宗,りんざいしゅう,五家七宗の一派で、六祖慧能の弟子の南岳懷讓系統より、晩唐に、臨済義玄によって成立した宗派のこと。衆生と仏は本来一体であるとし、喝を用いた峻烈な宗風で、無事禅を挙揚した。義玄の弟子の慧然が編集した『臨済録』は語録の王とも称されている。
57,宗派,臨済宗黄竜派,りんざいしゅうおうりょうは,臨済宗より発展した一派で、北宋代に黄竜慧南によって成立した宗派のこと。宋代に、楊岐派に先行して勢力を伸ばしたが、次第に楊岐派が優勢になっていった。
58,宗派,臨済宗楊岐派,りんざいしゅうようぎは,臨済宗より発展した一派で、北宋代に楊岐法会によって成立した宗派のこと。五祖法演の弟子である圓悟克勤が大慧宗杲を育てるなど、宋代に勢力を伸ばしていった。
59,人物,菩提達摩,ぼだいだるま,禅宗初祖。同時に西天二十八祖でもある。達摩が説いた禅法としては、二入四行説や壁観が挙げられる。その後二祖慧可、三祖僧粲、四祖道信、五祖弘忍、六祖慧能と伝灯系譜が続いた。
